"FID","ANALYST","OBS_YEAR","MISSION_ID","SITE","TRANSECT","SEGMENT","SEGLENGTH","SEGWIDTH","NO_COLONY","SPCODE","FRAGMENT","MORPH_CODE","EX_BOUND","JUVENILE","FRAGMENT.1","REMNANT","Shape_Leng","SEGAREA"
"354","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.037417242,1
"355","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.020729206,1
"357","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.035634956,1
"358","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.035100998,1
"359","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","MOSP","0","EM","0",-1,"0","0",0.049274132,1
"360","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.038301175,1
"361","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.03375574,1
"362","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.042214334,1
"363","MA",2019,"SE1902","HAW-04278","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.018740865,1
"371","MA",2019,"SE1902","HAW-04283","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.048485564,1
"377","MA",2019,"SE1902","HAW-04283","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.022337861,1
"391","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.044363612,1
"392","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PMEA","0","KN","0",-1,"0","0",0.027960866,1
"393","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.021447843,1
"394","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.023120986,1
"395","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.029795469,1
"396","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.020317726,1
"397","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.026322995,1
"398","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.034842071,1
"399","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.032206365,1
"400","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","MD","0",-1,"0","0",0.011741381,1
"402","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","EM","0",-1,"0","0",0.0207,1
"403","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","EM","0",-1,"0","0",0.019602296,1
"406","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","PCOM","0","CO","0",-1,"0","0",0.025428528,1
"412","MA",2019,"SE1902","HAW-04292","B","5",1,1,"0","POSP","0","EM","0",-1,"0","0",0.01690562,1
"413","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.018017769,1
"414","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","EM","0",-1,"0","0",0.019611476,1
"415","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.013327039,1
"416","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.022680829,1
"417","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.017523127,1
"418","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.021009761,1
"419","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.043724707,1
"420","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.017410628,1
"421","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.016238841,1
"422","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.027550137,1
"423","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.011141365,1
"424","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","EM","0",-1,"0","0",0.019474342,1
"425","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.027312452,1
"427","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.020647518,1
"429","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.033559649,1
"430","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","MCAP","0","EM","0",-1,"0","0",0.018853381,1
"438","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","EM","0",-1,"0","0",0.01171068,1
"439","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","EM","0",-1,"0","0",0.016003123,1
"440","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.01185327,1
"441","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","KN","0",-1,"0","0",0.02404163,1
"442","MA",2019,"SE1902","HAW-04292","B","10",1,1,"0","PMEA","0","KN","0",-1,"0","0",0.016107451,1
"523","MA",2019,"SE1902","HAW-04294","B","5",1,1,"0","PCOM","0","KN","0",-1,"0","0",0.032086134,1
"524","MA",2019,"SE1902","HAW-04294","B","5",1,1,"0","PCOM","0","KN","0",-1,"0","0",0.014469969,1
"526","MA",2019,"SE1902","HAW-04294","B","5",1,1,"0","PCOM","0","KN","0",-1,"0","0",0.031726645,1
"562","MA",2019,"SE1902","HAW-04294","B","5",1,1,"0","PCOM","0","EC","0",-1,"0","0",0.032112458,1
"577","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.031839911,1
"579","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.026536391,1
"580","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","POSP","0","KN","0",-1,"0","0",0.043286257,1
"583","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","POSP","0","EM","0",-1,"0","0",0.018216477,1
"584","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.047780331,1
"585","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.018054639,1
"586","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.017392527,1
"589","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.022709469,1
"590","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.030989838,1
"591","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","MD","0",-1,"0","0",0.034514489,1
"592","MA",2019,"SE1902","HAW-04296","B","0",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.034012351,1
"612","MA",2019,"SE1902","HAW-04299","B","5",1,1,"0","PMEA","0","BR","0",-1,"0","0",0.026176517,1
"613","MA",2019,"SE1902","HAW-04299","B","5",1,1,"0","PMEA","0","EM","0",-1,"0","0",0.015853391,1
"614","MA",2019,"SE1902","HAW-04299","B","5",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.013203408,1
"615","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.028014462,1
"616","MA",2019,"SE1902","HAW-04299","B","10",1,1,"0","PLOB","0","EM","0",-1,"0","0",0.009974467,1
