SITE,REGION,ISLAND,SEC_NAME,DEPTH_BIN,LATITUDE,LONGITUDE,repeats
ROS-05250,SAMOA,Rose,ROS_SANCTUARY,Deep,-14.559759,-168.15997,No
ROT-00830,MARIAN,Rota,Rota,Shallow,14.170434,145.174017,No
ROT-00845,MARIAN,Rota,Rota,Mid,14.151463,145.142447,Yes
ROT-00848,MARIAN,Rota,Rota,Mid,14.168004,145.286077,Yes
ROT-00866,MARIAN,Rota,Rota,Shallow,14.134106,145.155615,No
ROT-00867,MARIAN,Rota,Rota,Shallow,14.114066,145.203089,No
ROT-00872,MARIAN,Rota,Rota,Mid,14.123432,145.166732,No
ROT-00874,MARIAN,Rota,Rota,Deep,14.113576,145.183134,No
ROT-00879,MARIAN,Rota,Rota,Mid,14.200078,145.234837,No
ROT-00889,MARIAN,Rota,Rota,Deep,14.201946,145.257866,No
SAI-01820,MARIAN,Saipan,Saipan,Shallow,15.252987,145.761916,No
SAI-01828,MARIAN,Saipan,Saipan,Shallow,15.255131,145.743974,No
SAI-01843,MARIAN,Saipan,Saipan,Mid,15.261448,145.774449,No
SAI-01852,MARIAN,Saipan,Saipan,Mid,15.163473,145.693446,No
SAI-01854,MARIAN,Saipan,Saipan,Shallow,15.241284,145.699827,No
SAI-01857,MARIAN,Saipan,Saipan,Mid,15.203029,145.697777,Yes
SAI-01859,MARIAN,Saipan,Saipan,Deep,15.142486,145.675647,No
SAI-01882,MARIAN,Saipan,Saipan,Mid,15.2811,145.80037,No
SAI-01884,MARIAN,Saipan,Saipan,Mid,15.272446,145.788958,No
SAI-01888,MARIAN,Saipan,Saipan,Deep,15.173064,145.791975,No
SAI-01909,MARIAN,Saipan,Saipan,Shallow,15.104457,145.734591,No
SAI-01916,MARIAN,Saipan,Saipan,Mid,15.159922,145.766053,No
SAI-01918,MARIAN,Saipan,Saipan,Mid,15.124252,145.753057,No
SAI-01920,MARIAN,Saipan,Saipan,Mid,15.094726,145.752328,No
SAI-01921,MARIAN,Saipan,Saipan,Deep,15.145576,145.747041,No
SWA-00938,SAMOA,Swains,SWA_SANCTUARY,Shallow,-11.047027,-171.084079,No
SWA-00964,SAMOA,Swains,SWA_SANCTUARY,Mid,-11.066912,-171.083491,No
SWA-00975,SAMOA,Swains,SWA_OPEN,Mid,-11.061945,-171.067737,No
SWA-00977,SAMOA,Swains,SWA_SANCTUARY,Deep,-11.04716,-171.069025,No
SWA-00989,SAMOA,Swains,SWA_SANCTUARY,Deep,-11.046284,-171.081534,No
SWA-00995,SAMOA,Swains,SWA_OPEN,Mid,-11.057687,-171.091441,No
TAU-01294,SAMOA,Tau,TAU_OPEN,Mid,-14.211412,-169.434351,No
TAU-01306,SAMOA,Tau,TAU_OPEN,Mid,-14.241813,-169.419129,No
TAU-01321,SAMOA,Tau,TAU_SANCTUARY,Deep,-14.252967,-169.503459,No
TAU-01322,SAMOA,Tau,TAU_SANCTUARY,Deep,-14.273143,-169.495454,No
TAU-01327,SAMOA,Tau,TAU_OPEN,Deep,-14.248955,-169.418086,No
TAU-01341,SAMOA,Tau,TAU_SANCTUARY,Mid,-14.249653,-169.504868,No
TIN-00830,MARIAN,Tinian,Tinian,Shallow,14.94205,145.628084,No
TIN-00838,MARIAN,Tinian,Tinian,Mid,14.941167,145.652918,No
TIN-00846,MARIAN,Tinian,Tinian,Mid,14.955508,145.664356,No
TIN-00848,MARIAN,Tinian,Tinian,Mid,15.08859,145.631118,No
TIN-00849,MARIAN,Tinian,Tinian,Mid,15.048234,145.651459,No
TIN-00855,MARIAN,Tinian,Tinian,Mid,15.030392,145.65221,No
TIN-00868,MARIAN,Tinian,Tinian,Mid,15.07149,145.611553,No
TIN-00883,MARIAN,Tinian,Tinian,Deep,15.072696,145.657613,No
TIN-00884,MARIAN,Tinian,Tinian,Deep,14.970555,145.60753,No
TUT-05690,SAMOA,Tutuila,TUT_NW_OPEN,Shallow,-14.291769,-170.780676,No
TUT-05795,SAMOA,Tutuila,TUT_FAGATELE,Mid,-14.364058,-170.761836,No
TUT-05876,SAMOA,Tutuila,TUT_SW_OPEN,Mid,-14.330245,-170.8126,No
TUT-05930,SAMOA,Tutuila,TUT_NE_OPEN,Mid,-14.252287,-170.652265,No
TUT-05961,SAMOA,Tutuila,TUT_SW_OPEN,Deep,-14.340092,-170.791304,No
TUT-05997,SAMOA,Tutuila,TUT_NW_OPEN,Deep,-14.300914,-170.823822,No
