"","MISSIONID","DATE_","SITEVISITID","ANALYSIS_YEAR","OBS_YEAR","REGION","REGION_NAME","ISLAND","ISLANDCODE","SEC_NAME","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","HABITAT_CODE"
"4951","SE1902_MHI_LEG2",2019-07-13,12957,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04237","Forereef","Mid",19.7479,-155.0893,7.314843036,8.533984,"ROB"
"4955","SE1902_MHI_LEG2",2019-07-14,12966,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04227","Forereef","Mid",19.54917,-154.8603,13.71533069,14.62969,"ROB"
"4957","SE1902_MHI_LEG2",2019-07-14,12971,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04232","Forereef","Deep",19.51626,-154.8042,21.03017373,22.85888,"ROB"
"4958","SE1902_MHI_LEG2",2019-07-14,12965,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04220","Forereef","Deep",19.53255,-154.8191,22.24931423,23.77324,"ROB"
"4961","SE1902_MHI_LEG2",2019-07-14,12974,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04208","Forereef","Shallow",19.58264,-154.9203,3.352636391,4.876562,"ROB"
"4975","SE1902_MHI_LEG2",2019-07-14,12967,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04249","Forereef","Shallow",19.57356,-154.9076,4.571776897,5.486132,"ROB"
"4992","SE1902_MHI_LEG2",2019-07-14,12972,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04224","Forereef","Mid",19.54227,-154.8433,10.66747943,13.10576,"ROB"
"5011","SE1902_MHI_LEG2",2019-07-14,12973,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_PUNA","HAW-04231","Forereef","Mid",19.55366,-154.8712,8.229198415,10.66748,"ROB"
"5044","SE1902_MHI_LEG2",2019-07-16,13012,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04254","Forereef","Deep",19.85016,-155.9728,22.24931423,23.16367,"AGR"
"5046","SE1902_MHI_LEG2",2019-07-16,13013,"2019",2019,"MHI","Main Hawaiian Islands","Hawaii","HAW","HAW_KONA","HAW-04240","Forereef","Shallow",19.82821,-156.0013,5.486132277,6.705273,"PAV"
