"","SITEVISITID","OBS_YEAR","REGION_NAME","ISLAND","SITE","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","SITE_MIN_DEPTH","SITE_MAX_DEPTH"
"136",12494,2018,"Pacific Remote Island Areas","Kingman","KIN-00855","Lagoon","Mid",6.387454,-162.425801,"45","52"
"137",11573,2018,"Pacific Remote Island Areas","Howland","HOW-00866","Forereef","Mid",0.48972,-176.3747,"46","52"
"138",12030,2018,"American Samoa","Tau","TAU-01065","Forereef","Mid",-14.263403,-169.499876,"50","52"
"139",12516,2018,"Pacific Remote Island Areas","Kingman","KIN-00908","Protected Slope","Mid",6.398091,-162.460927,"50","52"
"140",12394,2018,"Pacific Remote Island Areas","Palmyra","PAL-01077","Forereef","Mid",5.895581,-162.084318,"51","52"
"141",11622,2018,"Pacific Remote Island Areas","Howland","HOW-00861","Forereef","Mid",0.8052,-176.60971,"48","53"
"142",12161,2018,"American Samoa","Tutuila","TUT-03021","Forereef","Mid",-14.343739,-170.789134,"48","53"
"143",12140,2018,"American Samoa","Tau","TAU-01062","Forereef","Mid",-14.275484,-169.492214,"50","53"
"144",12146,2018,"American Samoa","Tau","TAU-01021","Forereef","Mid",-14.25583,-169.420032,"47","54"
"145",11701,2018,"Pacific Remote Island Areas","Baker","BAK-00745","Forereef","Mid",0.20494,-176.47351,"51","54"
"146",12486,2018,"Pacific Remote Island Areas","Kingman","KIN-00838","Forereef","Mid",6.39717,-162.336306,"51","54"
"147",11975,2018,"American Samoa","Ofu & Olosega","OFU-01045","Forereef","Mid",-14.174067,-169.644303,"52","54"
"148",11620,2018,"Pacific Remote Island Areas","Howland","HOW-00865","Forereef","Mid",0.82356,-176.62387,"45","55"
"149",12248,2018,"Pacific Remote Island Areas","Jarvis","JAR-01935","Forereef","Mid",-0.368347,-159.978151,"48","55"
"150",12212,2018,"Pacific Remote Island Areas","Jarvis","JAR-01980","Forereef","Mid",-0.362512,-159.992721,"54","55"
"151",12122,2018,"American Samoa","Rose","ROS-01076","Forereef","Shallow",-14.539075,-168.145745,"54","56"
"152",12304,2018,"Pacific Remote Island Areas","Jarvis","JAR-01977","Forereef","Mid",-0.381494,-160.011621,"55","58"
"153",12515,2018,"Pacific Remote Island Areas","Kingman","KIN-00892","Protected Slope","Deep",6.392212,-162.462576,"59","62"
"154",11744,2018,"American Samoa","Swains","SWA-00793","Forereef","Deep",-11.056613,-171.091813,"60","62"
"155",12301,2018,"Pacific Remote Island Areas","Jarvis","JAR-01915","Forereef","Deep",-0.381992,-159.996087,"60","63"
"156",11955,2018,"American Samoa","Tutuila","TUT-02852","Forereef","Deep",-14.360848,-170.750407,"61","63"
"157",12416,2018,"Pacific Remote Island Areas","Palmyra","PAL-01066","Forereef","Deep",5.868817,-162.129816,"62","63"
"158",11996,2018,"American Samoa","Ofu & Olosega","OFU-01047","Forereef","Deep",-14.160672,-169.667964,"54","64"
"159",11856,2018,"American Samoa","Tutuila","TUT-05000","Forereef","Deep",-14.287669,-170.781856,"61","64"
"160",11878,2018,"American Samoa","Tutuila","TUT-02944","Forereef","Deep",-14.290762,-170.746693,"61","65"
"161",12178,2018,"American Samoa","Tutuila","TUT-02806","Forereef","Deep",-14.293038,-170.55251,"62","65"
"162",12095,2018,"American Samoa","Rose","ROS-01070","Forereef","Deep",-14.546095,-168.170684,"62","65"
"163",11993,2018,"American Samoa","Ofu & Olosega","OFU-00985","Forereef","Deep",-14.161003,-169.638342,"63","65"
"164",12393,2018,"Pacific Remote Island Areas","Palmyra","PAL-01059","Forereef","Deep",5.897446,-162.099882,"63","65"
"165",12406,2018,"Pacific Remote Island Areas","Palmyra","PAL-01057","Forereef","Deep",5.896885,-162.088899,"63","65"
"166",11832,2018,"American Samoa","Tutuila","TUT-02935","Forereef","Deep",-14.263439,-170.713355,"64","65"
"167",12484,2018,"Pacific Remote Island Areas","Kingman","KIN-00815","Backreef","Deep",6.435566,-162.392283,"64","65"
"168",11992,2018,"American Samoa","Ofu & Olosega","OFU-01000","Forereef","Deep",-14.160685,-169.620299,"65","65"
"169",11997,2018,"American Samoa","Ofu & Olosega","OFU-00995","Forereef","Deep",-14.164359,-169.655835,"63","66"
"170",12138,2018,"American Samoa","Tau","TAU-01011","Forereef","Deep",-14.209873,-169.430309,"63","66"
"171",12029,2018,"American Samoa","Tau","TAU-01056","Forereef","Deep",-14.26508,-169.499003,"64","66"
"172",12512,2018,"Pacific Remote Island Areas","Kingman","KIN-05001","Forereef","Deep",6.397649,-162.336273,"64","66"
"173",11879,2018,"American Samoa","Tutuila","TUT-02937","Forereef","Deep",-14.28841,-170.759135,"65","66"
"174",12372,2018,"Pacific Remote Island Areas","Palmyra","PAL-01065","Forereef","Deep",5.863276,-162.028893,"65","66"
"175",11764,2018,"American Samoa","Swains","SWA-00775","Forereef","Deep",-11.045273,-171.072248,"61","67"
"176",12100,2018,"American Samoa","Rose","ROS-01048","Forereef","Deep",-14.541729,-168.14392,"63","67"
"177",12247,2018,"Pacific Remote Island Areas","Jarvis","JAR-01918","Forereef","Deep",-0.366124,-159.981343,"66","67"
"178",12112,2018,"American Samoa","Rose","ROS-01045","Forereef","Deep",-14.5353,-168.16157,"65","70"
"179",12232,2018,"Pacific Remote Island Areas","Jarvis","JAR-01919","Forereef","Deep",-0.373424,-159.973332,"65","70"
"180",11714,2018,"Pacific Remote Island Areas","Baker","BAK-00724","Forereef","Deep",0.18673,-176.47002,"66","70"
"181",11660,2018,"Pacific Remote Island Areas","Howland","HOW-00862","Forereef","Deep",0.8054,-176.62131,"67","70"
"182",12493,2018,"Pacific Remote Island Areas","Kingman","KIN-00872","Lagoon","Deep",6.400254,-162.434961,"67","70"
"183",11864,2018,"American Samoa","Tutuila","TUT-02932","Forereef","Deep",-14.310693,-170.835797,"69","70"
"184",12356,2018,"Pacific Remote Island Areas","Palmyra","PAL-01052","Forereef","Deep",5.884333,-162.141086,"69","70"
"185",12179,2018,"American Samoa","Tutuila","TUT-02803","Forereef","Deep",-14.29288,-170.54982,"70","72"
