SEGMENTID,COLONYID,SPECIES,COLONYLENGTH,COLONYWIDTH,MORPH_CODE,SITE,DATE_,TRANSECTNUM,SITEVISITID,SEGMENT,SEGLENGTH,SEGWIDTH,TRANSECTID,DIVER,REGION,ISLANDCODE,OBS_YEAR,GENUS,S_ORDER,MISSIONID,ISLAND,REEF_ZONE,HABITAT_CODE,DEPTH_BIN,LATITUDE,LONGITUDE,MIN_DEPTH,MAX_DEPTH,REGION_NAME
2010,-,FUSP,1.7,-,PL,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Fungia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2010,-,ACSP,4.8,-,KN,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Acropora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2010,-,FUSP,4.6,-,EM,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Fungia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2010,-,MOSP,1.8,-,EM,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2010,-,STYS,1.4,-,EM,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Stylophora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2010,-,MOSP,2,-,EM,OFU-1045,7-Jul-18,1,11975,3,1,1,1087,MAR,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2014,-,MOSP,4.2,-,EM,OFU-1024,7-Jul-18,1,11984,1,1,1,1093,MSW,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
2014,-,PCHI,2.4,-,EM,OFU-1024,7-Jul-18,1,11984,1,1,1,1093,MSW,SAMOA,OFU,2018,Pavona,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
2014,-,PCHI,4.3,-,EM,OFU-1024,7-Jul-18,1,11984,1,1,1,1093,MSW,SAMOA,OFU,2018,Pavona,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
2014,-,MOSP,4.2,-,EM,OFU-1024,7-Jul-18,1,11984,1,1,1,1093,MSW,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
2014,-,MOSP,2.3,-,EM,OFU-1024,7-Jul-18,1,11984,1,1,1,1093,MSW,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
2014,-,MOSP,1.7,-,EM,OFU-1024,7-Jul-18,1,11984,1,1,1,1093,MSW,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.176668,-169.628432,46,50,American Samoa
2020,-,MOSP,3,-,EM,OFU-1045,7-Jul-18,1,11975,1,1,1,1087,BH,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2020,-,MOSP,3.6,-,EM,OFU-1045,7-Jul-18,1,11975,1,1,1,1087,BH,SAMOA,OFU,2018,Montipora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2020,-,PPRO,3.4,-,EM,OFU-1045,7-Jul-18,1,11975,1,1,1,1087,BH,SAMOA,OFU,2018,Psammocora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2024,-,PPRO,3.1,-,EM,OFU-1045,7-Jul-18,1,11975,5,1,1,1087,BH,SAMOA,OFU,2018,Psammocora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2024,-,FASP,4.2,-,EM,OFU-1045,7-Jul-18,1,11975,5,1,1,1087,BH,SAMOA,OFU,2018,Favia,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
2024,-,ACSP,3.2,-,KN,OFU-1045,7-Jul-18,1,11975,5,1,1,1087,BH,SAMOA,OFU,2018,Acropora,Scleractinia,HA1801,Ofu & Olosega,Forereef,AGR,Mid,-14.174067,-169.644303,52,54,American Samoa
886,-,ACSP,3.5,-,KN,HOW-910,9-Jun-18,1,11621,1,1,1,703,JDG,PRIAs,HOW,2018,Acropora,Scleractinia,HA1801,Howland,Forereef,SAG,Shallow,0.82122,-176.6252,16,22,Pacific Remote Island Areas
1004,-,PPRO,2,-,-,HOW-1031,11-Jun-18,1,11661,5,1,1,743,JDG,PRIAs,HOW,2018,Psammocora,Scleractinia,HA1801,Howland,Forereef,AGR,Mid,0.79788,-176.6198,34,38,Pacific Remote Island Areas
886,-,ACSP,2,-,EF,HOW-910,9-Jun-18,1,11621,1,1,1,703,JDG,PRIAs,HOW,2018,Acropora,Scleractinia,HA1801,Howland,Forereef,SAG,Shallow,0.82122,-176.6252,16,22,Pacific Remote Island Areas
